,,,,,
Data Medicao,TEMPERATURA MAXIMA,TEMPERATURA MEDIA,TEMPERATURA MINIMA,UMIDADE DO AR DIARIA,UMIDADE RELATIVA DO AR
2003-03-17,21.6,17.833333,,83.666667,75
2003-03-18,26,18.626087,13.9,77.652174,47
2003-03-19,28.5,20.366667,13.7,72.25,28
2003-03-20,29.2,20.754167,15,77.75,43
2003-03-21,25.6,19.491667,16.8,82.041667,53
2003-03-22,19.9,16.45,13.8,78.333333,61
2003-03-23,21,16.7,12.7,81.083333,60
2003-03-24,21,16.520833,13.4,85.583333,67
2003-03-25,22.4,16.804167,12.1,80.458333,58
2003-03-26,23.2,17.508333,14.9,84.5,58
2003-03-27,25.2,18.604167,15.8,83.208333,50
2003-03-28,23.8,18.479167,15.3,78.958333,52
2003-03-29,25.3,18575,14.1,80375,49
2003-03-30,26.9,19625,14.4,72.416667,26
2003-03-31,27.7,20625,15.4,70.958333,21
2003-04-01,26.6,20.333333,15.2,76.958333,45
2003-04-02,27.2,20.508333,17.7,80375,46
2003-04-03,19.7,17.441667,15.4,86.041667,74
2003-04-04,21.9,18.1375,16,87.791667,74
2003-04-05,26.3,20.745833,16.8,71.541667,36
2003-04-06,23.4,17.579167,14.1,71875,44
2003-04-07,22.8,16.145833,11.9,83.25,51
2003-04-08,22.8,17.15,13.2,78.708333,48
2003-04-09,26.5,18.85,13,75.083333,39
2003-04-10,21.7,18.945833,16.3,81.916667,65
2003-04-11,23.3,18.020833,14.5,57625,25
2003-04-12,19.6,13.3,8.2,52625,27
2003-04-13,19,12.729167,6.2,75.25,49
2003-04-14,21.7,15.6,11.9,83.083333,51
2003-04-15,24.5,17.313043,12.8,75.173913,36
2003-04-16,24.3,,13.8,75.857143,36
2003-04-17,25.4,18.570833,14.7,73625,30
2003-04-18,26.4,19.958333,14.2,75.666667,49
2003-04-19,20.3,18.079167,16.7,91.5,81
2003-04-20,20.1,16.245833,13.2,85.416667,68
2003-04-21,19.9,16.8875,14.4,87.458333,78
2003-04-22,26.2,19.616667,16.6,86375,57
2003-04-23,25,20.326087,17.5,82.086957,56
2003-04-24,27.4,20.258333,15.6,78,40
2003-04-25,28,21.370833,16.9,75.5,42
2003-04-26,28.7,22.620833,16.4,69.833333,38
2003-04-27,28.6,22.65,16.6,68.041667,36
2003-04-28,28.9,22.554167,16.8,67.791667,40
2003-04-29,26.9,21.754167,19.2,80.958333,53
2003-04-30,27.7,22.4625,18.9,76,48
2003-05-01,23.5,18.641667,16.5,79.083333,62
2003-05-02,,,,82.461538,68
2003-05-03,19.4,12.595833,6.2,75.166667,44
2003-05-04,18.8,13.25,8.7,81875,58
2003-05-05,19.3,15.4375,13.1,79.5,59
2003-05-06,18.5,,10.3,69.238095,43
2003-05-07,15.9,10.76087,6.3,61.347826,41
2003-05-08,18.9,11.65,6.2,68.75,47
2003-05-09,19.3,12.079167,5.9,76.583333,49
2003-05-10,18.2,12.908333,8.5,85.5,61
