,,,,,
Data Medicao,TEMPERATURA MAXIMA,TEMPERATURA MEDIA,TEMPERATURA MINIMA,UMIDADE DO AR DIARIA,UMIDADE DO AR MINIMA DIARIA 
2006-07-08,,,,,
2006-07-09,,,,,91
2006-07-10,21.4,15.191667,12.7,94.416667,72
2006-07-11,21.9,14.95,12.2,94.416667,73
2006-07-12,24.1,16.516667,12.2,83625,44
2006-07-13,24.2,14.241667,5.6,78.291667,34
2006-07-14,24.9,13.720833,3.6,77.041667,31
2006-07-15,20.2,13625,7.7,86.583333,60
2006-07-16,20.4,12.920833,6.3,79.833333,44
2006-07-17,21.9,13.6375,7.9,78.458333,41
2006-07-18,22.9,12025,3.5,76,28
2006-07-19,22.4,12.654167,4.2,70.916667,28
2006-07-20,23.8,12.829167,3.4,69.291667,27
2006-07-21,23.9,12.8625,3.1,70.958333,30
2006-07-22,25.8,13.8875,3,69.75,31
2006-07-23,26.3,15.916667,6.1,65375,28
2006-07-24,26.8,17175,9.6,63.75,29
2006-07-25,26.7,17.683333,10.1,62.75,28
2006-07-26,27.3,16.633333,7.8,62.166667,23
2006-07-27,26.8,16.395833,6.7,62.916667,24
2006-07-28,26.6,18.670833,12.1,70.25,35
2006-07-29,18.6,14.391667,9.7,66.458333,26
2006-07-30,13.2,7775,2,70.791667,50
2006-07-31,10.1,8.3875,5.7,89375,77
2006-08-01,15.3,10.245833,7.8,93.041667,72
2006-08-02,13.5,11225,9.3,94.75,85
2006-08-03,17,12.216667,10.1,90,69
2006-08-04,23.6,15.345833,9.4,83875,51
2006-08-05,27.4,16.691667,7.7,76.083333,29
2006-08-06,27.7,17.9375,9.5,66.5,28
2006-08-07,28.3,17.229167,7.3,66.916667,25
2006-08-08,27,16.129167,6,68375,30
2006-08-09,26.3,16.141667,5.9,65.833333,28
2006-08-10,27.3,19.270833,13.3,54.583333,31
2006-08-11,28.1,17.083333,9,73.666667,29
2006-08-12,29.5,17.729167,7.3,67.291667,27
2006-08-13,29.8,18.616667,10.5,65.583333,24
2006-08-14,28.8,18.4,8.8,61.666667,23
2006-08-15,26.6,,11.2,67.45,32
2006-08-16,21.6,16.079167,12.8,87.583333,61
2006-08-17,19.9,15.1125,11.7,91875,70
2006-08-18,16,13.929167,12.4,95875,89
2006-08-19,20.8,14.620833,10.3,85375,64
2006-08-20,18.2,12.641667,5.9,65.458333,31
2006-08-21,16.1,8.45,.2,58.791667,19
2006-08-22,18.7,8.583333,2,68.458333,21
2006-08-23,23.2,10075,-.4,63125,19
2006-08-24,25.2,11.870833,1,65.041667,24
2006-08-25,28.3,14.3,1.5,63.208333,16
2006-08-26,27,15.3,7,71.583333,29
2006-08-27,19.7,14.641667,11.3,79,51
2006-08-28,22.1,13.883333,6.2,71.916667,30
2006-08-29,16.5,9.866667,3.5,57.041667,29
2006-08-30,17.9,9.979167,2.5,73.458333,45
2006-08-31,16.7,11.495833,6.8,89.916667,70
2006-09-01,16,13.35,10.6,97625,85
2006-09-02,20.6,15.9375,13.2,81.208333,48
2006-09-03,18.2,11225,5.1,61.583333,30
2006-09-04,14.1,8.1375,2.8,53.5,25
2006-09-05,14.7,5.654167,-2.5,53.083333,19
2006-09-06,16.3,6.308333,-2.7,73.666667,34
2006-09-07,18.8,10.9125,5,79.458333,56
2006-09-08,25.9,16.258333,9.6,74.041667,39
2006-09-09,18.2,14.15,10.1,89.208333,69
