,,,,,
Data Medicao,TEMPERATURA MAXIMA,TEMPERATURA MEDIA,TEMPERATURA MINIMA,UMIDADE DO AR DIARIA,UMIDADE DO AR MINIMA DIARIA 
2006-11-17,,,,,
2006-11-18,,,,,33
2006-11-19,27.7,22.545833,21.3,86125,67
2006-11-20,22.7,19.566667,18.5,90.416667,73
2006-11-21,30.6,22125,14.3,78.75,47
2006-11-22,32.7,25.7125,19.2,67.541667,33
2006-11-23,35,27.095833,19.1,58.541667,31
2006-11-24,31.5,25.404167,20.7,70,42
2006-11-25,27.5,23375,20.5,86.041667,63
2006-11-26,31.4,25.504167,20,76.75,49
2006-11-27,30.9,25.4,21.6,79.666667,59
2006-11-28,27.6,23.091667,21.2,90.583333,69
2006-11-29,30.6,24.7375,19.8,79.166667,49
2006-11-30,33.1,25.229167,18,69.208333,32
2006-12-01,32.4,24.7875,19.5,64875,34
2006-12-02,32.7,24.691667,18.8,62.541667,29
2006-12-03,33.8,26,20.5,66.291667,44
2006-12-04,32.6,26.404545,22.7,77.181818,48
2006-12-05,32.4,26275,21.1,76125,49
2006-12-06,32.1,25.05,22.3,84.208333,55
2006-12-07,28.4,22.908333,19,90.416667,73
2006-12-08,26.4,22.804167,20.8,89.833333,74
2006-12-09,31.7,24.520833,19.9,79625,50
2006-12-10,32.4,25.45,21.1,78.958333,47
2006-12-11,30.9,24.683333,19.4,75.708333,52
2006-12-12,30.8,24.7,20,72.5,46
2006-12-13,32.1,24.933333,19.1,73.333333,44
2006-12-14,32.7,26.333333,20.7,74.666667,52
2006-12-15,33.7,27.3375,22.1,75.5,48
2006-12-16,36.1,27.929167,20.7,69.25,36
2006-12-17,34.7,28.233333,22.7,71.041667,43
2006-12-18,35.3,28.46087,22.5,70.26087,41
2006-12-19,33.9,26.15,23.5,82125,52
2006-12-20,31.2,24.2375,21.3,88.958333,61
2006-12-21,26.4,22725,21.3,93.041667,76
2006-12-22,27.3,22925,21.6,94.208333,76
2006-12-23,29.4,,21.8,91.25,71
2006-12-24,28.2,24.031818,22,89.409091,74
2006-12-25,,,,,55
2006-12-26,,,,75.75,58
2006-12-27,32.1,25.404167,20,81.458333,51
2006-12-28,30.2,24.55,21.6,85.833333,67
2006-12-29,29.8,23.704167,18.4,82625,65
2006-12-30,30.8,25175,22.1,77375,48
2006-12-31,30.6,25375,21.4,80,54
2007-01-01,30.9,25.5125,20.8,76.833333,54
2007-01-02,31,24925,21.8,86.083333,58
2007-01-03,26.3,23.104167,21.5,94.541667,83
2007-01-04,26.9,23.491667,21.5,93.208333,79
2007-01-05,29.9,25.108333,22.7,88.458333,68
2007-01-06,31.8,26.5125,22,78625,53
2007-01-07,30.6,25.445833,21.6,81.416667,67
2007-01-08,31.3,25775,21.8,84.75,61
2007-01-09,26.6,24.308333,23.3,91.333333,72
2007-01-10,32.8,25.404167,21.2,85.416667,56
2007-01-11,29.2,24.183333,22.7,92.5,76
2007-01-12,25.1,22875,21.4,96.666667,89
2007-01-13,31.4,26.066667,22.5,83.25,56
2007-01-14,32.1,25.454167,17.6,67.041667,32
2007-01-15,31.8,23.9875,17.2,76.458333,48
2007-01-16,31.4,25.108333,19.8,75875,42
2007-01-17,24.3,22.195833,20.8,86.416667,76
2007-01-18,31.8,24.420833,21.2,87.916667,64
2007-01-19,31.6,23.966667,21.2,92.25,64
2007-01-20,24.6,21.891667,19.3,91.25,73
2007-01-21,29.2,23.258333,18.8,84875,55
2007-01-22,30.6,24.016667,19.5,82.708333,57
2007-01-23,29.8,24.566667,20.8,81.958333,59
2007-01-24,31.5,25.433333,21.3,79.166667,50
2007-01-25,31.4,25.683333,20.9,79375,59
2007-01-26,30.5,25.133333,22.6,85.458333,64
2007-01-27,32.2,26.004167,21.6,81.708333,53
2007-01-28,26.3,23.491667,22.5,91.333333,78
2007-01-29,30.3,24.120833,19.4,82.25,55
2007-01-30,33.4,25.095833,20.4,78.083333,45
2007-01-31,32.1,25.079167,19.3,80.458333,49
2007-02-01,34.1,27.229167,21.1,74375,44
2007-02-02,34.3,27.916667,22.4,68.291667,42
2007-02-03,33.9,25.245833,21.1,79875,49
2007-02-04,30.8,25.1625,21.8,81.75,59
2007-02-05,28.7,22.85,19.8,87.833333,67
2007-02-06,29.1,23.179167,20.3,90.458333,72
2007-02-07,29,23.529167,19.6,86.833333,64
2007-02-08,33.3,25.970833,20.7,74.416667,42
2007-02-09,32.3,25.229167,21.7,77875,55
2007-02-10,27.7,24.195833,23.1,92.541667,77
2007-02-11,33.1,26.004167,21.3,77.958333,41
2007-02-12,30.4,24.679167,18.6,69.208333,46
2007-02-13,30.2,24.695833,19,64.5,36
2007-02-14,32.1,24.633333,17.9,62125,30
2007-02-15,33,24.491667,17.7,66.291667,34
2007-02-16,32.9,25.6375,20.1,69625,45
2007-02-17,31.5,24.258333,23.1,87875,56
2007-02-18,27.7,22.529167,20.5,89.833333,66
2007-02-19,24.8,21825,19.3,94.541667,83
2007-02-20,29.9,23.695833,21.5,87.458333,59
2007-02-21,29.7,23.958333,21,85.583333,61
2007-02-22,33.8,27.045833,22.3,71.166667,43
2007-02-23,33.8,27.920833,22.7,67.208333,41
2007-02-24,34,27.913043,22.4,67.173913,41
2007-02-25,33.1,24.386957,21.1,83.782609,50
2007-02-26,31.3,24.066667,18.6,78.416667,44
2007-02-27,32.2,25.709091,19.5,70.681818,41
2007-02-28,33.5,26.320833,21.5,71.916667,43
2007-03-01,33.9,27.079167,22.6,69.833333,41
2007-03-02,33.7,25.666667,22.6,78.25,47
2007-03-03,30.7,24.116667,21.3,82.958333,56
2007-03-04,34.3,26.379167,21.2,69.041667,41
2007-03-05,35.1,27.7875,22.1,59,31
2007-03-06,35,28.4625,22.8,54.416667,30
2007-03-07,35.8,27875,21.2,55.291667,29
2007-03-08,35.5,27.291667,21.8,59.458333,30
2007-03-09,35.6,27.491667,22.4,63.083333,31
2007-03-10,32.4,24.266667,21.1,78.458333,49
2007-03-11,31.8,24.945833,20.5,78.833333,46
2007-03-12,31.9,25.354167,22.4,79625,49
2007-03-13,29.7,24.358333,20.9,80.458333,58
2007-03-14,32,,21.1,77.952381,52
2007-03-15,31.1,23.908333,21.5,85625,57
2007-03-16,30.3,24.629167,21.6,84.416667,57
2007-03-17,25.7,22.25,20.9,93.75,81
2007-03-18,25.5,21.320833,18.8,82.083333,48
2007-03-19,26.2,20.0125,15.7,76.666667,47
2007-03-20,27.9,20.945833,14.4,73.208333,46
2007-03-21,30.3,22.666667,16.1,70.166667,36
