,,,,,
Data Medicao,TEMPERATURA MAXIMA,TEMPERATURA MEDIA,TEMPERATURA MINIMA,UMIDADE DO AR DIARIA,UMIDADE DO AR MINIMA DIARIA 
2006-10-15,,,,,
2006-10-16,,,,,
2006-10-17,,,,86.384615,76
2006-10-18,17.5,13.6375,11.2,95.333333,82
2006-10-19,18,14.129167,12.1,96875,84
2006-10-20,19.1,14.05,10.4,87.833333,71
2006-10-21,21.5,14.854167,10.9,75125,45
2006-10-22,25,16.383333,10.8,69.208333,20
2006-10-23,19.8,14.529167,10,76875,53
2006-10-24,23,15.5375,9.9,67.791667,30
2006-10-25,25.8,17.745833,12.7,80.458333,54
2006-10-26,27.8,21.558333,15.9,66.666667,46
2006-10-27,28.8,21.229167,16.1,76875,42
2006-10-28,29.1,22.008333,15.2,68.958333,34
2006-10-29,27.1,19.7125,11.5,63.416667,41
2006-10-30,25.8,20.583333,15.9,78.208333,46
2006-10-31,25.6,18775,15.8,89.708333,66
2006-11-01,19.8,17.395833,15.5,95.041667,85
2006-11-02,27,20.395833,17,82.208333,47
2006-11-03,25.2,19.220833,17.4,88375,61
2006-11-04,20.8,17.358333,16.9,96.333333,76
2006-11-05,21.2,,14.8,91.928571,76
2006-11-06,,,,,
2006-11-07,,,,,
2006-11-08,,,,,
2006-11-09,,,,,
2006-11-10,,,,,
2006-11-11,,,,,
2006-11-12,,,,,
2006-11-13,,,,,
2006-11-14,,,,,
2006-11-15,,,,,
2006-11-16,,,,,
2006-11-17,,,,,54
2006-11-18,27.7,21.954167,19.3,76.833333,48
2006-11-19,17.6,16.508333,15.5,97.916667,78
2006-11-20,17.3,15.554167,14.5,96.708333,86
2006-11-21,23.6,16.079167,11.4,87875,65
2006-11-22,26.3,19.333333,13.5,84.458333,50
2006-11-23,26.2,20.179167,15.9,74.708333,34
2006-11-24,26.4,19.908333,15,76.833333,49
2006-11-25,22.3,18.4125,16.2,91375,73
2006-11-26,24.7,19.145833,16.6,91.708333,59
2006-11-27,22.5,18.954167,17,91125,74
2006-11-28,19.8,17.6,15.5,96125,88
2006-11-29,26.8,20.7125,16.9,84.791667,53
2006-11-30,24.3,18.5,15.6,86125,54
2006-12-01,22.1,15825,12.4,86.75,60
2006-12-02,25.2,17.316667,11.3,75.791667,53
2006-12-03,27.2,20325,14.9,78.291667,40
2006-12-04,26,20.947826,18.5,83.913043,61
2006-12-05,26.5,21.016667,17.8,82.083333,55
2006-12-06,24.6,18.3875,18.3,94.333333,71
2006-12-07,24.5,18.316667,14,82.666667,50
2006-12-08,21.6,16425,13.9,93.5,71
2006-12-09,23.7,18.416667,14.5,91.291667,70
2006-12-10,22.1,18125,15.8,91.208333,70
2006-12-11,23.1,18.45,15.6,81.458333,61
2006-12-12,23.1,17.35,13.3,79.708333,57
2006-12-13,25.2,17.941667,13.9,84125,55
2006-12-14,26.7,20.4625,15.7,81.5,59
2006-12-15,28.9,22.1875,18.5,81.041667,45
2006-12-16,29.5,22.854167,18.6,76.208333,43
2006-12-17,28.5,22.408333,18.7,80.791667,54
2006-12-18,28.8,22.9,19.4,77.416667,53
2006-12-19,24.1,20.566667,18.1,88.583333,66
2006-12-20,23.4,18925,16.6,93625,77
2006-12-21,23.2,19.679167,17.4,90.583333,74
2006-12-22,21.8,18.9,17.8,94.583333,80
2006-12-23,21.7,,17.7,97.176471,87
2006-12-24,24.3,,,87.05,66
2006-12-25,,,,,70
2006-12-26,,,,81.583333,67
2006-12-27,27.5,20.083333,13.8,77.958333,37
2006-12-28,26.4,20.345833,17,81625,54
2006-12-29,23.8,19.466667,16.2,81125,55
2006-12-30,24.7,18.845833,14.3,81.416667,60
2006-12-31,26.1,19.133333,16.1,88,58
2007-01-01,22,18.7375,16.2,88.458333,73
2007-01-02,23.8,18.745833,16.9,94.041667,69
2007-01-03,27.2,20.545833,17.9,87375,55
2007-01-04,23.2,19.445833,17.8,95125,78
2007-01-05,25.1,19.9375,18,94.333333,68
2007-01-06,24.5,20.3,18.5,93.291667,78
2007-01-07,19.4,16.795833,14.5,94875,88
2007-01-08,18.9,16.970833,15.2,95.958333,91
2007-01-09,24.4,18.945833,16.2,94.291667,76
2007-01-10,26.5,20.6,17.2,89.083333,61
2007-01-11,24.4,19.983333,18.7,93.291667,78
2007-01-12,26.4,20.75,17.8,86.458333,61
2007-01-13,26.8,20.708333,14.8,72.958333,42
2007-01-14,27.2,20.695833,13.8,59.291667,31
2007-01-15,26.7,20.104167,15.4,77375,46
2007-01-16,21.9,18.233333,16.8,90.25,74
2007-01-17,22.3,17.295833,14.7,85.791667,65
2007-01-18,26.6,20.520833,15.9,83.75,56
2007-01-19,28.8,20.516667,17.6,84.958333,47
2007-01-20,24.2,19.0375,16.1,85.5,61
2007-01-21,25.2,18.820833,13.2,82.583333,53
2007-01-22,20.3,16.983333,14.7,92.583333,76
2007-01-23,23.3,18.266667,14.8,88.333333,67
2007-01-24,26.8,19.766667,15.6,80.041667,38
2007-01-25,25.8,20.1,15.9,82.208333,55
2007-01-26,26.3,20.55,17.4,88.541667,65
2007-01-27,27.5,22.1125,18.4,81.791667,53
2007-01-28,25.8,20.229167,18,90.333333,60
2007-01-29,23.2,19225,16.9,95.083333,80
2007-01-30,25,19925,16.6,87.791667,68
2007-01-31,24.6,19.45,16.7,91.958333,69
2007-02-01,28.3,21.408333,17.7,86.791667,55
2007-02-02,24.7,19.666667,16.1,86.25,67
2007-02-03,26,19.866667,15.6,80625,57
2007-02-04,25.1,19.733333,15,80.583333,62
2007-02-05,25.3,20225,16.6,84.291667,64
2007-02-06,26.9,21.1625,17.7,85.75,63
2007-02-07,23.7,20075,17.2,83.666667,69
2007-02-08,21.1,18175,16.2,91.833333,81
2007-02-09,21.8,18125,16.3,93.208333,83
2007-02-10,26.2,20.345833,16.9,92.041667,68
2007-02-11,26.7,20525,17.9,84.166667,48
2007-02-12,20.8,15.641667,12.2,84.291667,64
2007-02-13,22.3,16.041667,12.2,80.916667,52
2007-02-14,21.8,16.416667,13.1,81.916667,56
2007-02-15,23.1,17.654167,13.9,83375,63
2007-02-16,26.5,19.8375,15.9,80.333333,48
2007-02-17,23.7,19.95,17.6,88625,71
2007-02-18,23,19.533333,18.3,93.958333,79
2007-02-19,22.8,18.966667,17.3,94.083333,77
2007-02-20,22.4,17925,16,95.166667,79
2007-02-21,23.3,18.570833,17,95.541667,82
2007-02-22,26.7,21.070833,17.7,86.041667,61
2007-02-23,27.3,22.058333,18.7,80.416667,52
2007-02-24,27.5,22.886957,18.1,66.26087,49
2007-02-25,26.6,19.2375,16.6,87.916667,57
2007-02-26,24.7,19.295833,16.7,85.458333,57
2007-02-27,24.7,19.0375,16.2,86.041667,63
2007-02-28,24.4,19.133333,16.8,88.75,65
2007-03-01,25.9,20.179167,16.9,86.541667,61
2007-03-02,24.3,19.408333,17.6,91.916667,74
2007-03-03,24.9,19.166667,16.1,87.25,63
2007-03-04,26.2,20.929167,17.1,80.583333,56
2007-03-05,27.4,21.3375,17.5,79.208333,51
2007-03-06,27.6,21.295833,17,79.041667,51
2007-03-07,26.8,20.816667,16.5,68.75,26
2007-03-08,26.8,20625,15.6,74875,37
2007-03-09,25.3,20.070833,18.1,84.333333,64
2007-03-10,26.5,20.170833,16.7,84625,58
2007-03-11,24.4,19.35,16.3,90.833333,71
2007-03-12,23.3,19175,17.4,92.333333,77
2007-03-13,21.5,17.913043,16.5,95.434783,79
2007-03-14,24,18.45,15.4,92.458333,69
2007-03-15,22.6,19.0125,16.7,92125,78
2007-03-16,25.8,19.55,17.5,90.458333,63
2007-03-17,19.1,16.904167,15.4,97.25,87
2007-03-18,22.3,18.058333,15.8,90.416667,63
2007-03-19,21.3,15.904167,12.7,85.458333,58
2007-03-20,22.6,16.2625,11.8,80.083333,48
2007-03-21,23.2,17575,12,81.166667,54
2007-03-22,24.8,18.254167,13.1,75.333333,42
2007-03-23,25.7,19.458333,14,75875,50
2007-03-24,27.7,21.341667,16.8,72.041667,43
2007-03-25,24.8,20.1625,16.9,83.916667,66
2007-03-26,27.1,21.241667,16.4,73.583333,47
2007-03-27,27.4,21.695833,16.3,70.583333,46
2007-03-28,28.8,22.895833,16.5,68125,48
2007-03-29,28.5,22.995833,19.2,69875,47
2007-03-30,27.4,21.05,15.3,71.208333,49
2007-03-31,27.8,21.5375,17.6,72.458333,47
2007-04-01,25.2,19.3375,15.1,85.75,62
2007-04-02,25.9,19.758333,16.9,88.416667,63
2007-04-03,25.6,19.8875,17.3,86.666667,64
2007-04-04,24.3,18.995833,15.2,88.208333,64
2007-04-05,23,18.658333,16.7,89375,70
2007-04-06,19.9,16.5125,14.5,93.458333,78
2007-04-07,21.6,16.069565,14.2,93.217391,75
2007-04-08,21,16.870833,15,92125,75
2007-04-09,21.1,14.958333,11.8,85.708333,58
2007-04-10,22,15.916667,12.7,83.791667,59
2007-04-11,21.7,16.370833,13.5,85.958333,62
2007-04-12,20.1,15.65,13.8,90.916667,75
2007-04-13,18.4,15.566667,12.9,93.458333,87
2007-04-14,22.5,17425,14.6,89.958333,71
2007-04-15,21.4,18.2,15.4,92.708333,78
2007-04-16,24.7,18.841667,14.9,86.916667,57
2007-04-17,24.9,18.820833,15.6,79.083333,46
2007-04-18,22.5,17.508333,14.1,82.041667,59
2007-04-19,23.1,17.891667,14.6,83.083333,60
2007-04-20,24.1,18475,14.8,81.208333,50
2007-04-21,24.2,18.041667,15.2,84.416667,59
2007-04-22,24,18.920833,14.5,63125,42
2007-04-23,23.4,18275,14.9,84.708333,60
2007-04-24,22.3,18.283333,16.8,91375,78
2007-04-25,19.8,16.991667,15.7,94.458333,74
2007-04-26,19.1,17,15.8,96375,91
2007-04-27,17.2,12525,8.1,80.75,42
2007-04-28,14.3,10.0625,6,88.541667,72
2007-04-29,18.8,13.166667,10.4,92375,73
2007-04-30,18.1,13.670833,11.2,93.166667,77
2007-05-01,20.6,15.0625,11.1,90.041667,74
2007-05-02,25.4,18.158333,12.1,81.25,54
2007-05-03,21,16.679167,13.1,78.791667,65
2007-05-04,19.9,15.208333,13.1,91875,75
2007-05-05,21,15.791667,13.2,92.333333,75
2007-05-06,22.3,17.8875,14.1,78.25,59
2007-05-07,21.9,17.516667,16,77,61
2007-05-08,15.7,13.741667,14.1,97.791667,89
2007-05-09,11.1,5475,0,76.166667,39
2007-05-10,11.5,8.104167,2.7,86.083333,73
2007-05-11,15.4,11.35,7.6,92.291667,80
2007-05-12,19.8,13.891667,8.3,87.333333,64
2007-05-13,17.4,14475,11.8,90.458333,74
2007-05-14,19.7,15.491667,12.7,79.583333,50
2007-05-15,16.4,12.779167,10.2,94375,85
2007-05-16,20.1,15.879167,12,89.166667,73
2007-05-17,19.3,16.120833,14,93.666667,71
2007-05-18,17.3,15.970833,15.2,95.5,88
2007-05-19,15.3,12.333333,11,98.333333,97
2007-05-20,14.1,12.466667,11,98125,95
2007-05-21,16.7,14.308333,11.8,97875,91
2007-05-22,20.2,14.758333,10.9,91.291667,67
2007-05-23,15.8,11.1125,11.2,88.583333,62
2007-05-24,13.1,5.770833,1,79.666667,48
2007-05-25,13.8,7025,.4,78875,54
2007-05-26,14.5,8.795833,5.3,82.541667,46
2007-05-27,17.8,12.033333,5.2,70.708333,42
2007-05-28,16.9,10.770833,5.4,75.5,46
2007-05-29,11.3,6.020833,2.3,73.333333,38
2007-05-30,9.8,2.7125,-4.1,73.541667,52
2007-05-31,12,7.765217,.3,87.434783,73
2007-06-01,14.1,11.579167,5.8,92.5,85
2007-06-02,15.9,11.3875,8,79625,32
2007-06-03,11.1,6.158333,2.1,76.916667,46
2007-06-04,14.9,7.9625,2.9,68.041667,32
2007-06-05,18.1,11.270833,3.7,59.583333,31
2007-06-06,17.6,12.491667,6.2,62.458333,48
