ID;DT_NOTIFIC;UMIDADE;TEMPERATURA;REGIAO
A1;10/07/2006;72;15,19;Ponta Grossa
A2;12/07/2006;44;16,51;Ponta Grossa
A3;13/07/2006;34;14,24;Ponta Grossa
A4;14/07/2006;31;13,72;Ponta Grossa
A5;15/07/2006;60;13,62;Ponta Grossa
A6;16/07/2006;44;12,92;Ponta Grossa
A7;17/07/2006;41;13,63;Ponta Grossa
A8;18/07/2006;28;12,02;Ponta Grossa
A9;19/07/2006;28;12,65;Ponta Grossa
A10;20/07/2006;27;12,82;Ponta Grossa
A11;21/07/2006;30;12,86;Ponta Grossa
A12;22/07/2006;31;13,88;Ponta Grossa
A13;23/07/2006;28;15,91;Ponta Grossa
A14;24/07/2006;29;17,17;Ponta Grossa
A15;25/07/2006;28;17,68;Ponta Grossa
A16;26/07/2006;23;16,63;Ponta Grossa
A17;27/07/2006;24;16,39;Ponta Grossa
A18;28/07/2006;35;18,67;Ponta Grossa
A19;29/07/2006;26;14,39;Ponta Grossa
A20;30/07/2006;50;7,78;Ponta Grossa
A21;31/07/2006;77;8,39;Ponta Grossa
A22;01/08/2006;72;10,24;Ponta Grossa
A23;02/08/2006;85;11,22;Ponta Grossa
A24;03/08/2006;69;12,21;Ponta Grossa
A25;04/08/2006;51;15,34;Ponta Grossa
A26;05/08/2006;29;16,69;Ponta Grossa
A27;06/08/2006;28;17,93;Ponta Grossa
A28;07/08/2006;25;17,22;Ponta Grossa
A29;08/08/2006;30;16,12;Ponta Grossa
A30;09/08/2006;28;16,14;Ponta Grossa
A31;10/08/2006;31;19,27;Ponta Grossa
A32;11/08/2006;29;17,08;Ponta Grossa
A33;12/08/2006;27;17,72;Ponta Grossa
A34;13/08/2006;24;18,61;Ponta Grossa
A35;16/08/2006;61;16,07;Ponta Grossa
A36;17/08/2006;70;15,11;Ponta Grossa
A37;18/08/2006;89;13,92;Ponta Grossa
A38;19/08/2006;64;14,62;Ponta Grossa
A39;20/08/2006;31;12,64;Ponta Grossa
A40;22/08/2006;21;8,58;Ponta Grossa
A41;23/08/2006;19;10,07;Ponta Grossa
A42;24/08/2006;24;11,87;Ponta Grossa
A43;27/08/2006;51;14,64;Ponta Grossa
